  5651-3    pdf mean     289 m  worst     400 m  Ban Na Phai
  6531-2    pdf mean     272 m  worst     524 m  Xa Tram Da Mi
  6531-3    pdf mean     270 m  worst     518 m  Tanh Linh
  6631-2    pdf mean     270 m  worst     522 m  Ap Luong Tay
  6731-3    pdf mean     266 m  worst     531 m  Phan Ri
  6431-3    pdf mean     264 m  worst     523 m  Xa Gia Kiem
  6331-2    pdf mean     264 m  worst     502 m  Tan Uyen
  6431-2    pdf mean     264 m  worst     524 m  Dinh Quan
  6836-4    pdf mean     261 m  worst     526 m  Qui Nhon
  6736-4    pdf mean     261 m  worst     523 m  An Tuc
  6636-1    pdf mean     260 m  worst     515 m  Chu Rpan
  6328-4    pdf mean     259 m  worst     505 m  Thanh Phu
  6328-3    pdf mean     258 m  worst     499 m  Ba Dong
  5653-1    pdf mean     257 m  worst     402 m  Phu Nung Nong
  6536-4    pdf mean     255 m  worst     507 m  Thanh An
  6245-3    pdf mean     242 m  worst     467 m  Tuan Tuong
  6245-2    pdf mean     237 m  worst     468 m  Ky Anh
  6145-2    pdf mean     200 m  worst     455 m  La Khe Thon
fit: 161 sheets on cell, median 11 m, worst 50 m
fit: 276 of 437 sheets more than 150 m off their cell -- do not upload this archive
